(0, 'S', 1)
(0, 'P', 2)
(0, 'v', 3)
(0, 'x', 4)
(0, 'y', 5)
(0, 'z', 6)
(0, 'i', 7)
(0, 'w', 8)
(0, 'r', 9)
(2, 'v', 10)
(3, '@', 11)
(7, 'E', 12)
(7, 'T', 13)
(7, 'F', 14)
(7, 'B', 15)
(7, 'v', 16)
(7, 'n', 17)
(7, 'd', 18)
(7, '(', 19)
(8, 'E', 12)
(8, 'T', 13)
(8, 'F', 14)
(8, 'B', 20)
(8, 'v', 16)
(8, 'n', 17)
(8, 'd', 18)
(8, '(', 19)
(9, 'v', 21)
(9, 'g', 22)
(10, '@', 23)
(11, 'E', 24)
(11, 'T', 25)
(11, 'F', 26)
(11, 'v', 27)
(11, 'n', 28)
(11, 'd', 29)
(11, 'g', 30)
(11, '(', 31)
(12, 'O', 32)
(12, '+', 33)
(12, '-', 34)
(12, '=', 35)
(12, '!', 36)
(12, '>', 37)
(12, '<', 38)
(13, '*', 39)
(13, '/', 40)
(15, ':', 41)
(19, 'E', 42)
(19, 'T', 43)
(19, 'F', 44)
(19, 'v', 45)
(19, 'n', 46)
(19, 'd', 47)
(19, '(', 48)
(20, ':', 49)
(23, 'C', 50)
(23, 'n', 51)
(23, 'd', 52)
(23, 'g', 53)
(24, '+', 54)
(24, '-', 55)
(25, '*', 56)
(25, '/', 57)
(31, 'E', 58)
(31, 'T', 43)
(31, 'F', 44)
(31, 'v', 45)
(31, 'n', 46)
(31, 'd', 47)
(31, '(', 48)
(32, 'E', 59)
(32, 'T', 60)
(32, 'F', 61)
(32, 'v', 62)
(32, 'n', 63)
(32, 'd', 64)
(32, '(', 65)
(33, 'T', 66)
(33, 'F', 14)
(33, 'v', 16)
(33, 'n', 17)
(33, 'd', 18)
(33, '(', 19)
(34, 'T', 67)
(34, 'F', 14)
(34, 'v', 16)
(34, 'n', 17)
(34, 'd', 18)
(34, '(', 19)
(39, 'F', 68)
(39, 'v', 16)
(39, 'n', 17)
(39, 'd', 18)
(39, '(', 19)
(40, 'F', 69)
(40, 'v', 16)
(40, 'n', 17)
(40, 'd', 18)
(40, '(', 19)
(41, 'S', 70)
(41, 'P', 71)
(41, 'v', 72)
(41, 'x', 4)
(41, 'y', 5)
(41, 'z', 6)
(41, 'i', 73)
(41, 'w', 74)
(41, 'r', 75)
(42, '+', 76)
(42, '-', 77)
(42, ')', 78)
(43, '*', 79)
(43, '/', 80)
(48, 'E', 81)
(48, 'T', 43)
(48, 'F', 44)
(48, 'v', 45)
(48, 'n', 46)
(48, 'd', 47)
(48, '(', 48)
(49, 'S', 82)
(49, 'P', 83)
(49, 'v', 84)
(49, 'x', 4)
(49, 'y', 5)
(49, 'z', 6)
(49, 'i', 85)
(49, 'w', 86)
(49, 'r', 87)
(54, 'T', 88)
(54, 'F', 26)
(54, 'v', 27)
(54, 'n', 28)
(54, 'd', 29)
(54, '(', 31)
(55, 'T', 89)
(55, 'F', 26)
(55, 'v', 27)
(55, 'n', 28)
(55, 'd', 29)
(55, '(', 31)
(56, 'F', 90)
(56, 'v', 27)
(56, 'n', 28)
(56, 'd', 29)
(56, '(', 31)
(57, 'F', 91)
(57, 'v', 27)
(57, 'n', 28)
(57, 'd', 29)
(57, '(', 31)
(58, '+', 76)
(58, '-', 77)
(58, ')', 92)
(59, '+', 93)
(59, '-', 94)
(60, '*', 95)
(60, '/', 96)
(65, 'E', 97)
(65, 'T', 43)
(65, 'F', 44)
(65, 'v', 45)
(65, 'n', 46)
(65, 'd', 47)
(65, '(', 48)
(66, '*', 39)
(66, '/', 40)
(67, '*', 39)
(67, '/', 40)
(70, 'l', 98)
(70, '\\', 99)
(71, 'v', 100)
(72, '@', 101)
(73, 'E', 12)
(73, 'T', 13)
(73, 'F', 14)
(73, 'B', 102)
(73, 'v', 16)
(73, 'n', 17)
(73, 'd', 18)
(73, '(', 19)
(74, 'E', 12)
(74, 'T', 13)
(74, 'F', 14)
(74, 'B', 103)
(74, 'v', 16)
(74, 'n', 17)
(74, 'd', 18)
(74, '(', 19)
(75, 'v', 104)
(75, 'g', 105)
(76, 'T', 106)
(76, 'F', 44)
(76, 'v', 45)
(76, 'n', 46)
(76, 'd', 47)
(76, '(', 48)
(77, 'T', 107)
(77, 'F', 44)
(77, 'v', 45)
(77, 'n', 46)
(77, 'd', 47)
(77, '(', 48)
(79, 'F', 108)
(79, 'v', 45)
(79, 'n', 46)
(79, 'd', 47)
(79, '(', 48)
(80, 'F', 109)
(80, 'v', 45)
(80, 'n', 46)
(80, 'd', 47)
(80, '(', 48)
(81, '+', 76)
(81, '-', 77)
(81, ')', 110)
(82, '\\', 111)
(83, 'v', 112)
(84, '@', 113)
(85, 'E', 12)
(85, 'T', 13)
(85, 'F', 14)
(85, 'B', 114)
(85, 'v', 16)
(85, 'n', 17)
(85, 'd', 18)
(85, '(', 19)
(86, 'E', 12)
(86, 'T', 13)
(86, 'F', 14)
(86, 'B', 115)
(86, 'v', 16)
(86, 'n', 17)
(86, 'd', 18)
(86, '(', 19)
(87, 'v', 116)
(87, 'g', 117)
(88, '*', 56)
(88, '/', 57)
(89, '*', 56)
(89, '/', 57)
(93, 'T', 118)
(93, 'F', 61)
(93, 'v', 62)
(93, 'n', 63)
(93, 'd', 64)
(93, '(', 65)
(94, 'T', 119)
(94, 'F', 61)
(94, 'v', 62)
